Carrera,Grupo,Clave,Materia,CRN,Profesor,Dia,Hora inicio,Hora Fin,Aula,Modalidad
Abogado,1A,IC854,TEORIA DEL DERECHO,139101,PARRA MAGAÑA FATIMA,LUNES,8,10,B14,TOTAL PRESENCIAL
Abogado,1A,IC877,EPISTEMOLOGIA Y METODOLOGIA JURIDICA,138921,MARQUEZ ROSALES ANTONIO,LUNES,10,12,B12,TOTAL PRESENCIAL
Abogado,1A,REC01,RECREACION Y APROVECHAMIENTO,,,LUNES,12,14,AULA-RECREACION-10,
Abogado,1A,IC870,ESTUDIO DE CASO DE INSTITUCIONES JURIDICAS I,138928,MURILLO LAMAS OSCAR EFRAIN,LUNES,14,16,C3,TOTAL PRESENCIAL
Abogado,1A,IC855,TECNOLOGIAS EN GESTION DE LA INFORMACION,139342,HERNÁNDEZ MARISCAL RAÚL,LUNES,16,18,A5,HIBRIDA
Abogado,1A,IC855,TECNOLOGIAS EN GESTION DE LA INFORMACION,139342,HERNÁNDEZ MARISCAL RAÚL,MARTES,18,20,EL68,HIBRIDA
Abogado,1A,V2455,ANALISIS DE PROBLEMAS GLOBALES DEL SIGLO XXI,213332,MARQUEZ ROSALES ANTONIO,MARTES,20,22,EL32,TOTAL EN LINEA
Abogado,1A,IC877,EPISTEMOLOGIA Y METODOLOGIA JURIDICA,138921,MARQUEZ ROSALES ANTONIO,MIERCOLES,8,10,B12,TOTAL PRESENCIAL
Abogado,1A,IC860,SOCIOLOGIA JURIDICA,138288,MIRANDA TORRES ROXANA PAOLA,MIERCOLES,10,12,A2,TOTAL PRESENCIAL
Abogado,1A,REC01,RECREACION Y APROVECHAMIENTO,,,MIERCOLES,12,14,AULA-RECREACION-9,
Abogado,1A,IC864,LENGUA EXTRANJERA I,139086,GONZALEZ MARTINEZ JORGE,MIERCOLES,14,16,A10,TOTAL PRESENCIAL
Abogado,1A,IC854,TEORIA DEL DERECHO,139101,PARRA MAGAÑA FATIMA,VIERNES,8,10,C15,TOTAL PRESENCIAL
Abogado,1A,REC01,RECREACION Y APROVECHAMIENTO,,,VIERNES,10,12,AULA-RECREACION-1,
Abogado,1A,IC859,HISTORIA DEL DERECHO UNIVERSAL Y MEXICANO,138954,CORTES JOSE GILBERTO,VIERNES,12,14,D8,TOTAL PRESENCIAL
Abogado,1A,IC860,SOCIOLOGIA JURIDICA,138288,MIRANDA TORRES ROXANA PAOLA,VIERNES,14,16,A10,TOTAL PRESENCIAL
Abogado,1A,IC856,DERECHO ROMANO,138894,CORTES JOSE GILBERTO,SABADO,8,10,B3,TOTAL PRESENCIAL
Abogado,1A,REC01,RECREACION Y APROVECHAMIENTO,,,SABADO,10,12,AULA-RECREACION-6,
Abogado,1A,IC859,HISTORIA DEL DERECHO UNIVERSAL Y MEXICANO,138954,CORTES JOSE GILBERTO,SABADO,12,14,A1,TOTAL PRESENCIAL
Abogado,1A,V2455,ANALISIS DE PROBLEMAS GLOBALES DEL SIGLO XXI,213332,MARQUEZ ROSALES ANTONIO,SABADO,16,18,EL15,TOTAL EN LINEA
Abogado,1B,IC856,DERECHO ROMANO,138895,AGUILAR NAVARRO RAUL,LUNES,8,10,A12,TOTAL PRESENCIAL
Abogado,1B,REC01,RECREACION Y APROVECHAMIENTO,,,LUNES,10,12,AULA-RECREACION-9,
Abogado,1B,IC870,ESTUDIO DE CASO DE INSTITUCIONES JURIDICAS I,140069,MURILLO LAMAS OSCAR EFRAIN,LUNES,12,14,B7,TOTAL PRESENCIAL
Abogado,1B,IC877,EPISTEMOLOGIA Y METODOLOGIA JURIDICA,138922,OROZCO TORRES AXEL FRANCISCO,LUNES,14,16,C4,TOTAL PRESENCIAL
Abogado,1B,IC859,HISTORIA DEL DERECHO UNIVERSAL Y MEXICANO,138953,REA CANO ERNESTO SAMUEL,LUNES,16,18,B8,TOTAL PRESENCIAL
Abogado,1B,IC855,TECNOLOGIAS EN GESTION DE LA INFORMACION,139343,ESTRADA GARCÍA JUAN ALONSO,MIERCOLES,18,20,EL66,HIBRIDA
Abogado,1B,IC860,SOCIOLOGIA JURIDICA,138289,CORTES JOSE GILBERTO,JUEVES,8,10,A10,TOTAL PRESENCIAL
Abogado,1B,IC864,LENGUA EXTRANJERA I,165335,GOMEZ GONZALEZ CLAUDIA VERONICA,JUEVES,10,12,D15,TOTAL PRESENCIAL
Abogado,1B,REC01,RECREACION Y APROVECHAMIENTO,,,JUEVES,12,14,AULA-RECREACION-5,
Abogado,1B,IC854,TEORIA DEL DERECHO,139103,BUENROSTRO ROBLES PEDRO,JUEVES,14,16,B3,TOTAL PRESENCIAL
Abogado,1B,IC877,EPISTEMOLOGIA Y METODOLOGIA JURIDICA,138922,OROZCO TORRES AXEL FRANCISCO,VIERNES,8,10,C16,TOTAL PRESENCIAL
Abogado,1B,IC854,TEORIA DEL DERECHO,139103,BUENROSTRO ROBLES PEDRO,VIERNES,12,14,C12,TOTAL PRESENCIAL
Abogado,1B,IC855,TECNOLOGIAS EN GESTION DE LA INFORMACION,139343,ESTRADA GARCÍA JUAN ALONSO,VIERNES,14,16,A5,HIBRIDA
Abogado,1B,IC859,HISTORIA DEL DERECHO UNIVERSAL Y MEXICANO,138953,REA CANO ERNESTO SAMUEL,SABADO,8,10,B8,TOTAL PRESENCIAL
Abogado,1B,IC860,SOCIOLOGIA JURIDICA,138289,CORTES JOSE GILBERTO,SABADO,10,12,C10,TOTAL PRESENCIAL
